Name,Bio,Image,Instagram,Mixcloud,Soundcloud,Schedule,Active
4 Colours,"basement sounds for the more mature listener.pack the essentials for a journey into the deep reaches of house, techno, broken beat, soul, and funk with cambridge's finest audio pilot.4c has been gracing the airwaves for years via future music, mhyh, frission radio, motion fm, and ugs. he currently delivers his one foot in the chill show on d3ep radio. salute sir!",https://res.cloudinary.com/db5yf8okw/image/upload/4colours_8qnj_ohfxed.jpg,,,https://soundcloud.com/4colours,sun 10pm,true
Mark Disc Break,"mark disc break curates the station playlists and the evening garage house sessions. expect all genres from the dancefloor to the sofa. heavy underground shufflers, funky bubblers, and soul-tinged jazzy nibblers.",https://res.cloudinary.com/db5yf8okw/image/upload/markdiscbreak2_kpeaps.png,,,,fri 10pm,true
Look Busy Collective,"look busy is a collective of djs with our roots firmly in collecting and mixing wonky records on belt drive turntables. between us we have over 60 years of experience looking busy behind the decks and counting.you can find us playing across Scotland in various clubs, bars and festivals as well as on podcasts or radio shows such as rhythmcast, berlin boombox, house salad and making waves underground.our club nights and festival appearances have supported and booked djs that include dam swindle, dj sneak, dusky, paul woolford, george fitzgerald, dh haus, brawther, robert owens, mella dee, slam, horse meat disco, mk, booka shade, chaos in the cbd, darius syrossian, green velvet, purple disco machine, basement jaxx, john digweed, james zabeila, palms trax, jamie trench, oli furness and ejeca.this project is our creative platform to celebrate and share our collective love for house music, funk, soul, disco and any oddity or curve ball we come across in-between.",https://res.cloudinary.com/db5yf8okw/image/upload/lookbusycollective_ruqmj1.png,https://www.instagram.com/look_busy_collective/,,https://soundcloud.com/look_busy_collective,sat 10pm,true
Semi-Detached Disco,"from amsterdam with love.djs and part-time space cadets, leroy hemp and henry poynor take us on an interplanetary journey to the finest space disco in the solar system.",https://res.cloudinary.com/db5yf8okw/image/upload/semi_detached_2024_gj1ahs.png,,,https://soundcloud.com/semidetachedcloud/sets,sun 6pm,true
Dust Down Records,"""time to dust ourselves down""record label & dj collective, south london via the universe, from brothers @duvet-dave & @joeginho",https://res.cloudinary.com/db5yf8okw/image/upload/Dust_Down_Records_2TJa_m7orsl.jpg,,,https://soundcloud.com/dustdownrecords,fri 6pm,true
Disco Borisco Soundsystem,"disco-borisco soundsystem is a ukrainian project based in france. fueled by the international creative community, oleksiy is focused on building bridges and sharing positive energy via disco, funk, and house music.",https://res.cloudinary.com/db5yf8okw/image/upload/dbs_rkb7jf.png,,,https://soundcloud.com/dbs011010,sat 5pm,true
Sister Shaft,"sister shaft brings together the juiciest bits of jazz, funk, soul and everything in close proximity. a member of the #bamboocrew and recent addition to the #melomaniacs collective, she likes to get you jigging to a good jam.",https://res.cloudinary.com/db5yf8okw/image/upload/sister_shaft_o9dgo8.png,https://www.instagram.com/sister_shaft/,https://www.mixcloud.com/sister_shaft/,,,false
Adeleamis,"adele made her djing debut in may 2022 with the melomaniacs collective at run dem radio. bitten by the djing bug, she invested in a set of decks and hasn't looked back. playing a mix of vinyl and digital across the genres of soul, funk, jazz, latin, brazilian, afro beat, disco and house.",https://res.cloudinary.com/db5yf8okw/image/upload/adeleamis_hlgsob.png,https://www.instagram.com/adeleamis/,https://www.mixcloud.com/Adelamis/,,,false
Francois de Bonsoir,"a keen cyclist, flaneur and oenophile, francois de bonsoir serves up the finest flavours from the broken beat, nu jazz and deep house kitchen.",https://res.cloudinary.com/db5yf8okw/image/upload/francoisdebonsoirNEW_zj9x9c.png,https://www.instagram.com/francois_de_bonsoir/,https://www.mixcloud.com/Francois_de_Bonsoir/,,sat 6pm,true
Lee Tristram,"lee's journey as a dj began in 1989. he has played in some of the capital's main clubs such as ministry, turnmills, and the cross & egg, plus pacha and the '99 wmc in miami.he has since moved onto production, releasing a string of solo and remix projects.we're delighted to welcome Lee's unique, deep and soulful house style to the station!",https://res.cloudinary.com/db5yf8okw/image/upload/leetristram_ls1o6x.png,,https://www.mixcloud.com/leetristram/,,,false
